"Manage Gift Cards","Manage Gift Cards"
"Add New Gift Card","Add New Gift Card"
"Save Gift Card","Save Gift Card"
"Delete Gift Card","Delete Gift Card"
"Resend Gift Card","Resend Gift Card"
"Edit Gift Card \'%s\'","Edit Gift Card \'%s\'"
"New Gift Card","New Gift Card"
"Card ID","Card ID"
"Card Code","Card Code"
"Initial Value","Initial Value"
"Current Balance","Current Balance"
"Order","Order"
"View","View"
"Date Created","Date Created"
"Card Type","Card Type"
"Print","Print"
"E-mail","E-mail"
"Offline","Offline"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Resend","Resend"
"Manage Gift Cards","Manage Gift Cards"
"Gift Card Information","Gift Card Information"
"Gift Card Information","Gift Card Information"
"Gift Card Info","Gift Card Info"
"Card Code","Card Code"
"Initial Value","Initial Value"
"Order","Order"
"Initial Value","Initial Value"
"Current Balance","Current Balance"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Gift Card Type","Gift Card Type"
"E-mail","E-mail"
"Print","Print"
"Recipient Info","Recipient Info"
"Offline Address (for offline cards only)","Offline Address (for offline cards only)"
"To Name","To Name"
"To Email","To Email"
"From Name","From Name"
"Message","Message"
"Card amount is not within the specified range.","Card amount is not within the specified range."
"%s was added to your shopping cart.","%s was added to your shopping cart."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"To redeem your gift card or to use your gift card balance you need to be logged in.","To redeem your gift card or to use your gift card balance you need to be logged in."
"Gift Card ""%s"" was applied.","Gift Card ""%s"" was applied."
"Gift Card ""%s"" is not valid.","Gift Card ""%s"" is not valid."
"To redeem your gift card or to use your gift card balance you need to be logged in.","To redeem your gift card or to use your gift card balance you need to be logged in."
"To redeem your gift card you need to be logged in.","To redeem your gift card you need to be logged in."
"Gift Card ""%s"" was applied.","Gift Card ""%s"" was applied."
"Gift Card ""%s"" is not valid.","Gift Card ""%s"" is not valid."
"Gift Cards","Gift Cards"
"Card does not exists","Card does not exists"
"Gift card was successfully saved","Gift card was successfully saved"
"Unable find gift card to save","Unable find gift card to save"
"Gift card was successfully deleted","Gift card was successfully deleted"
"Please select gift card(s)","Please select gift card(s)"
"Total of %d geftcard(s) were successfully deleted","Total of %d geftcard(s) were successfully deleted"
"Please select gift card(s)","Please select gift card(s)"
"%d giftcard(s) were successfully resent","%d giftcard(s) were successfully resent"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Please specify the product\'s option(s).","Please specify the product\'s option(s)."
"My Gift Cards","My Gift Cards"
"My Gift Card balance","My Gift Card balance"
"Enter the Gift Card code","Enter the Gift Card code"
"Redeem","Redeem"
"Card Type","Card Type"
"Move to Wishlist","Move to Wishlist"
"Gift Gards","Gift Gards"
"Use my Gift Card balance.","Use my Gift Card balance."
"Or redeem and use your Gift Card now:","Or redeem and use your Gift Card now:"
"Redeem and Use","Redeem and Use"
"To use your gift cards, please <a href=""%s"">register</a> or <a href=""%s"">log in</a>.","To use your gift cards, please <a href=""%s"">register</a> or <a href=""%s"">log in</a>."
"Choose the type of Gift Card","Choose the type of Gift Card"
"E-mail Gift Card (to someone or yourself)","E-mail Gift Card (to someone or yourself)"
"Print-Out Gift Card","Print-Out Gift Card"
"Amount","Amount"
"Recipient E-mail","Recipient E-mail"
"To","To"
"From","From"
"Message","Message"
